Date,Site_ID,Species,Site,Ind_No,Sex,Juv_Adult,Age,Basal_cm,Height_in,Growth_Rate,Canopy_in_1,Canopy_in_2,Canopy_area_in2,Fruit_no,Total_Est,Total_Fruit_No,Huber_Value,HV_m2_cm2,Total_Lvs,WD,Ks,Huber_Value_Units,KL_Units,TotalAssim,BW_fresh_avg,BW_dry_avg,Stem_Diam_Avg_mm,Photo,Trmmol,Cond,WUE_Intrinsic,photo_area,Thick_cm,Area_cm2,LMA_g.cm2,LWR,Hole_mass,LD_g.cm3,KS_In_Ex,Counts_Avg_Top,SP_Length_Avg_Top,Counts_Avg_Bottom,SP_Length_Avg_Bottom,Density_mm2_Top,Length_mm_Top,SPI_Top,Density_mm2_Bottom,Length_mm_Bottom,SPI_Bottom,Stom_Notes
July_15_2016,Jonaskop,PRPU,Jonaskop,1,mon,Adult,9,4.7,44,4.888888889,47,52,1919.513111,76,Total,76,10623.03,1.062303,63,0.481921145,0.97124296,9.42155E-05,9.15061E-05,125849.6944,0.9635,0.8245,5.855,11.85699259,1.203267396,0.142420401,83.25347006,6,0.057933333,15.26701,0.024955771,2.846230769,0.0071,0.430767051,Include,25.66666667,0.666666667,26,0.8,80.6909012,0.033333333,0.089656557,81.73883497,0.04,0.130782136,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,2,mon,Adult,10,5.6,60,6,67,61,3209.922294,122,Total,122,8014.29,0.801429,27,0.555884521,0.762525728,0.000124938,9.52683E-05,112074.5664,1.0365,0.9055,3.885,14.00234662,1.20531619,0.156399212,89.52952154,6,0.0504,17.55076,0.022620103,3.227333229,0.0054,0.448811567,Include,22.33333333,0.833333333,22.33333333,0.8,70.21156336,0.041666667,0.121895075,70.21156336,0.04,0.112338501,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,3,mon,Adult,10,5.2,59,5.9,48,50,1884.955592,98,Total,98,11819.81,1.181981,38,0.454488465,0.321726668,8.46037E-05,2.72193E-05,121741.5107,1.034,0.92,3.81,10.29978487,0.741838126,0.078898064,130.5454703,6,0.062566667,15.73972,0.026302882,1.970086767,0.0073,0.420397686,Include,22,0.666666667,24,0.7,69.16362959,0.033333333,0.076848477,75.45123228,0.035,0.09242776,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,4,mon,Adult,10,8.9,61,6.1,69,57,3088.970977,106,Total,106,6136.18,0.613618,26,0.508901335,0.270334,0.000163157,4.4107E-05,65908.47654,0.8535,0.941,4.295,10.75345919,1.058410859,0.118617577,90.65654064,6,0.063933333,11.31486,0.026513806,2.133133479,0.0075,0.414710211,Include,25,0.733333333,25.33333333,0.833333333,78.59503363,0.036666667,0.105666656,79.6429674,0.041666667,0.138269041,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,5,mon,Adult,9,6.4,59,6.555555556,57,48,2148.849375,66,Total,66,9853.25,0.985325,48,0.51530739,0.511913361,0.000101489,5.19538E-05,119763.8922,1.237,1.0965,4.32,12.15476033,0.98157215,0.115987182,104.7939964,6,0.055466667,17.52785,0.024133023,2.061518561,0.0069,0.435090556,Include,26,0.666666667,24.66666667,0.666666667,81.73883497,0.033333333,0.090820928,77.54709985,0.033333333,0.086163444,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,6,mon,Adult,10,3.8,57,5.7,41,42,1352.455637,58,Total,58,7607.66,0.760766,40,0.491502999,0.523377589,0.000131613,6.88833E-05,83941.54124,1.278,1.026,3.945,11.04779543,1.628716872,0.168095531,65.72331438,6,0.0704,10.59535,0.027936784,2.663137326,0.0076,0.396829318,Include,25,0.8,22.33333333,0.8,78.59503363,0.04,0.125752054,70.21156336,0.04,0.112338501,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,7,mon,Adult,11,5.2,73,6.636363636,48,52,1960.353816,48,Total,48,9110.23,0.911023,35,0.528230459,1.072075059,0.000109767,0.000117678,117177.9335,1.3815,1.027,3.8,12.86223434,1.56712208,0.150892651,85.24095942,6,0.0662,10.245,0.031527574,2.641912649,0.0088,0.476247341,Include,22,0.8,21,0.866666667,69.16362959,0.04,0.110661807,66.01982825,0.043333333,0.123970566,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,8,mon,Adult,9,3.2,53,5.888888889,44,34,1174.955652,28,Total,28,7177.96,0.717796,20,0.521835778,0.896322443,0.000139483,0.000125022,93045.14424,0.93,0.803,4.155,12.97821718,1.556473745,0.146284218,88.71918897,6,0.063733333,15.17889,0.028262936,2.32354241,0.0085,0.443456111,Include,20,0.866666667,19.33333333,0.866666667,62.8760269,0.043333333,0.118067206,60.78015933,0.043333333,0.114131633,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,9,mon,Adult,10,6.1,54,5.4,46,33,1192.234412,63,Total,63,10914.3,1.09143,31,0.572163225,1.324266804,9.17544E-05,0.000121507,138837.1817,1.1105,0.981,3.485,12.73891663,1.440535677,0.134022387,95.05066217,6,0.061333333,17.93604,0.030274241,3.009187514,0.0079,0.493601758,Include,20.33333333,0.866666667,22.66666667,0.733333333,63.92396067,0.043333333,0.120034993,71.25949716,0.036666667,0.095804435,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,10,mon,Adult,11,6.3,62,5.636363636,68,35,1869.247629,87,Total,87,8543.22,0.854322,30,0.51505869,1.128388849,0.000117052,0.00013208,111893.056,1.0635,1.017,3.69,13.09729796,1.42557779,0.140567906,93.17416993,6,0.060366667,15.9009,0.024086687,2.705243039,0.0069,0.399006409,Include,24.33333333,0.7,22.66666667,0.733333333,76.49916605,0.035,0.093711478,71.25949716,0.036666667,0.095804435,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,11,mon,Adult,9,4.8,48,5.333333333,42,33,1088.561854,51,Total,51,6316.77,0.631677,25,0.5117393,0.550584833,0.000158309,8.71624E-05,69873.74784,1.476,0.9445,3.66,11.0616316,0.839777572,0.092509776,119.5725693,6,0.058633333,13.35104,0.025091678,2.524067555,0.0073,0.427942208,Include,25,0.733333333,24.66666667,0.733333333,78.59503363,0.036666667,0.105666656,77.54709985,0.036666667,0.104257767,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,12,mon,Adult,10,7.4,67,6.7,65,56,2858.849315,128,Total,128,7162.83,0.716283,27,0.504782321,0.463967674,0.00013961,6.47743E-05,94029.74627,1.3835,0.9785,3.93,13.12744904,1.25223723,0.128657125,102.0343727,6,0.0578,16.69625,0.022639814,1.673203355,0.0069,0.391692284,Include,24,0.8,23.33333333,0.666666667,75.45123228,0.04,0.120721972,73.35536471,0.033333333,0.081505961,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,13,mon,Adult,11,10.5,58,5.272727273,90,80,5654.866776,281,Total,281,10482.13,1.048213,56,0.54454408,1.185485516,9.54005E-05,0.000113096,140307.2474,1.309,1.0735,5.29,13.38537748,1.536686321,0.167945253,79.70083846,6,0.066266667,16.29417,0.029826619,2.295591466,0.009,0.450099882,Include,26.33333333,0.666666667,26,0.7,82.78676874,0.033333333,0.091985299,81.73883497,0.035,0.100130073,scope at 20x in Holsinger lab
